"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","5645","","EnterToPersonalAccountPageTest","","EnterToPersonalAccountPageTest","","testSuccessfulEnterToPersonalAccountPage",""
"passed","","","2437","","RegistrationPageTest","","RegistrationPageTest","","testFailureRegistration",""
"passed","","","4648","","EnterToConstructorFromPersonalAccountPageTest","","EnterToConstructorFromPersonalAccountPageTest","","testSuccessfulEnterToConstructorFromLogo",""
"passed","","","3721","","LogInPageTest","","LogInPageTest","","testSuccessfulLoginFromRegistrationForm",""
"passed","","","5901","","LogInPageTest","","LogInPageTest","","testSuccessfulLoginFromForgotPasswordForm",""
"passed","","","10159","","LogOutTest","","LogOutTest","","testSuccessfulLogOut",""
"passed","","","5575","","ConstructorTest","","ConstructorTest","","testConstructorSection",""
"passed","","","4094","","LogInPageTest","","LogInPageTest","","testSuccessfulLoginFromHomePageHeaderLinkPersonalAcc",""
"passed","","","3757","","RegistrationPageTest","","RegistrationPageTest","","testSuccessfulRegistration",""
"passed","","","5933","","EnterToConstructorFromPersonalAccountPageTest","","EnterToConstructorFromPersonalAccountPageTest","","testSuccessfulEnterToConstructorFromHeaderLink",""
"passed","","","4059","","LogInPageTest","","LogInPageTest","","testSuccessfulLoginFromMainPageButton",""
